epoch,loss_C,loss_G,epoch_time_sec
0,-1.5103985771893504,-3.2021844980294847,27.69901949999621
1,-0.46023531578956767,-3.6132810691569714,43.70435980000184
2,-0.4565172023595648,-0.7102903337396206,58.52203009999357
3,-0.13141318919810843,-0.7510916362417505,89.07464579999214
4,-0.09348434739924491,-1.0561379289373438,122.14716220000992
5,-0.08800509183013693,-0.8842234087830528,151.01563670000178
6,-0.11019357033073902,-0.6974281765441311,176.8039335999929
7,-0.11233353160797281,-0.862006910264175,202.4709198999917
8,-0.12501438536225482,-0.6531440487963722,229.8425084000046
9,-0.40657308619548665,-0.07393068840945179,256.3402204000158
10,-0.4671574170411901,-0.10344088075687474,282.7735004000133
11,-0.4546539542142381,-0.06778097744508488,309.6461499000143
12,-0.4437676056934164,-0.06541775544372169,335.9215829000168
13,-0.4276277536026975,-0.10407208536771384,362.7404214999988
14,-0.43416794092097183,-0.15061835989472455,390.5765199000016
15,-0.3943772028481707,-0.11027685038874203,415.6740761999972
16,-0.40076874843303195,-0.030456029355248555,440.2949246999924
17,-0.38305080581218637,-0.0436611366084222,466.5703968000016
18,-0.38192206725161126,-0.0655969483926496,492.85725639999146
19,-0.4041081142425537,-0.07774007420224,518.2530774000043
20,-0.39524471834618996,-0.08166578485571006,544.0580079999927
21,-0.37337176444048575,-0.08122229047956817,571.2166838000121
22,-0.35498678511761605,-0.08275940566660558,595.6312051000132
23,-0.3733000923851703,-0.049418828126161975,648.3002758999937
24,-0.3606404435951659,-0.04492728473479919,704.2567869000195
25,-0.3339708187478654,-0.0555112801214799,760.1408297000162
26,-0.36124569863398026,-0.09246693545484301,815.5776037000178
27,-0.3680801343030118,-0.07381826797450715,871.9358627000183
28,-0.3579418123909768,-0.0958209592314001,926.1104143999983
29,-0.3310424946977737,-0.10153927489560335,987.4618563000113
30,-0.34637851722696994,-0.0910535764989463,1045.5997610999912
31,-0.3160640944064932,-0.12650323810521513,1102.0356625000131
32,-0.3298402324509113,-0.10964178337537228,1152.7305760000017
33,-0.33288496324356565,-0.10174284496399118,1204.3497950000165
34,-0.3062788911702785,-0.0841521980240941,1256.1815634999948
35,-0.2952555166280016,-0.061415662056707,1311.6297979000083
36,-0.32483873352091364,-0.03973812220551252,1366.0932591000164
37,-0.2956561966779384,-0.11205264886722285,1421.0781194000156
38,-0.29394467532000645,-0.058072874201659824,1473.346987099998
39,-0.2869025254376391,-0.062065515380867936,1524.8281816999952
40,-0.29806591430243023,-0.08387452554145947,1577.6782420999953
41,-0.27863996167132193,-0.06616823216999307,1629.5513983000128
42,-0.3071143940915453,-0.04962390545914148,1681.8326546000026
43,-0.2893877483428793,-0.05369712564737556,1733.7863727000076
44,-0.25746802706667715,-0.06800304053281929,1787.8339721999946
45,-0.2726541678575759,-0.07387063408944201,1841.8381564000156
46,-0.23570063360828034,-0.07651825073234578,1896.5645135999948
47,-0.2580483219312861,-0.092225159793359,1950.0012756999931
48,-0.24728491177584264,-0.06221950406386973,2003.0025773000089
49,-0.2517994902679261,-0.12453188158167981,2058.3492081000004
50,-0.23713238376252194,-0.0676635529969799,2109.1888841000036
51,-0.25256493993262025,-0.0925074233415913,2158.7588800000085
52,-0.23524527153436173,-0.22965395587318121,2209.5102737999987
53,-0.2815721175264805,-0.48698947112809154,2262.347690499999
54,-0.2555617790526532,-1.289446179917518,2314.2952454000188
55,-0.18724236178905407,-1.4286897800070175,2365.6619465000113
56,-0.17371292725522466,-0.9518443001711622,2417.731398700009
57,-0.11493937436570513,-1.5189898930965586,2468.8943631
58,-0.10425546275808456,-1.0120971844888274,2521.5846086000092
59,-0.18749279992377504,-0.21081970309432438,2573.326299600012
60,-0.16504729480502453,-0.07901914403823383,2626.2547025000094
61,-0.16870426354256082,-0.09167253332846659,2677.876086400007
62,-0.16828693207274092,-0.04012886122949025,2731.5778781000117
63,-0.17149092949451283,-0.04394258278684611,2786.5878367999976
64,-0.1743449218824823,-0.06176723595708609,2841.0964357000194
65,-0.15576517706855814,-0.05265031279401576,2896.6378949999926
66,-0.1781248855210365,-0.06532767546224467,2952.093416799995
67,-0.1615314026684203,-0.04015387051659537,3007.059496700007
68,-0.1741560489192922,-0.04633353959590672,3061.557228599995
69,-0.16502873147421696,-0.05495172924129292,3116.809312600002
70,-0.16286306420539287,-0.05730778986905166,3171.8933765999973
71,-0.14984551392971202,-0.05655558838885515,3227.361157300009
72,-0.15550800791446198,-0.055846409633399006,3281.786055400007
73,-0.1528995935967628,-0.053458890413736644,3340.889300700015
74,-0.14711300701219984,-0.05521941012752421,3395.884360600001
75,-0.1557163605886571,-0.0768305910513439,3453.835921699996
76,-0.1460352251028761,-0.1935099419454073,3517.3955944000045
77,-0.17201855547884679,-0.8196626305164016,3579.7528186000127
78,-0.1781284998832865,-0.696266233128436,3636.6385912999976
79,-0.21449904322624205,-0.7426971718351891,3691.584680400003
80,-0.2102355637639127,-0.4242256657042085,3753.176302100008
81,-0.20935322312598534,-0.07235070156389253,3814.9950931000058
82,-0.23158223739329806,-0.06403661996839528,3874.487728200009
83,-0.21455406015857736,-0.05962725742348529,3937.977293600008
84,-0.21830923641615727,-0.04874754291959107,4001.677191900002
85,-0.2130678473444695,-0.05278971368357777,4066.0493811999913
86,-0.2127927075865421,-0.05167062388970814,4128.808380700008
87,-0.20537114992420724,-0.057872199409819663,4190.478564399993
88,-0.2096155877379661,-0.04780459245320093,4251.137508600019
89,-0.21441324653143579,-0.04840086430182403,4314.273381200008
90,-0.2054239023365873,-0.04446635771384264,4376.740611799993
91,-0.20707775013243898,-0.051952362379574395,4439.542338600004
92,-0.19246829867362977,-0.06124860208005981,4500.554547300009
93,-0.18399873855900256,-0.0931163121252618,4564.767245499999
94,-0.19073212407370832,-0.06684368193803474,4627.244624200015
95,-0.19751535857611513,-0.05567219819764587,4690.135146100016
96,-0.19827953851603447,-0.04499274964365078,4752.022321600001
97,-0.1973354863930256,-0.056165781611219996,4814.934715700016
98,-0.1953023015121196,-0.05781360473929647,4876.8539725000155
99,-0.18096625140372744,-0.15841917182477389,4938.874024399993
100,-0.24117464976107822,-0.6717814890628165,5002.164610600012
101,-0.16999263002517376,-0.9725185777278657,5063.580156800017
102,-0.15653970426701486,-0.8321679162218215,5124.409975100018
103,-0.10051399976649183,-0.8969006401427249,5185.382092400017
104,-0.1846070462338468,-0.32147903281283824,5246.363560400001
105,-0.1878210750475843,-0.16135059020264034,5309.011948200001
106,-0.20299632645667867,-0.07282994962792765,5369.646271100006
107,-0.19765571034969168,-0.0660830471922267,5431.065283000004
108,-0.2105730613432032,-0.05723995471898308,5492.332865900011
109,-0.19255915308252294,-0.06489827852210704,5553.59103890002
110,-0.17836835435730344,-0.0644163416985898,5614.113853599993
111,-0.1803084805354159,-0.05915693275907889,5675.020803399995
112,-0.1902568797228184,-0.05966336985732964,5736.199216100009
113,-0.19207674904706631,-0.054642856429192296,5797.387596100016
114,-0.1722224659520261,-0.05833675569874492,5857.570008800016
115,-0.17971799556879287,-0.0763538912929436,5919.293821800005
116,-0.18060312384620625,-0.0739454985328732,5982.554145600006
117,-0.1808677537644163,-0.061409430774275534,6043.937252500007
118,-0.17755262415459816,-0.06553485341657429,6105.456755299994
119,-0.16244065678500114,-0.07307509346865118,6167.6192307000165
120,-0.16866979409405525,-0.07164028602493729,6230.250554600003
121,-0.17583047684202802,-0.07365558084615685,6291.657966300001
122,-0.16276284624287424,-0.0637051216103731,6354.422657899995
123,-0.1646825369938891,-0.07636196323412847,6417.067310700018
124,-0.16820208340883255,-0.07667965768796808,6479.598053499998
125,-0.163434949916728,-0.07390483499286657,6542.688226900005
126,-0.1657563526516265,-0.06703981391520814,6604.348233700002
127,-0.16754906433693906,-0.07660220705388866,6664.796511099994
128,-0.15942954991092073,-0.06760184712549473,6726.589788300014
129,-0.1650092634305041,-0.06917087946661768,6787.335597700003
130,-0.16846384654019742,-0.07340625064729892,6848.700692999992
131,-0.15543741933525876,-0.09262149510607916,6909.860594900005
132,-0.16926095658477316,-0.0774150159863874,6972.867407500016
133,-0.15335051355209756,-0.07352366755577795,7033.914293900016
134,-0.1470870113499621,-0.11147217801227136,7095.70310850002
135,-0.15475038860706572,-0.07105886552661182,7156.672431100014
136,-0.16207926253689095,-0.0746806764316329,7217.312378100003
137,-0.15130205799924568,-0.06874176415495892,7274.938311100006
138,-0.15976961167568857,-0.07264608878127121,7336.149778199993
139,-0.1490160215091198,-0.08323719374776045,7392.604501099995
140,-0.14531103623040179,-0.08116934165863836,7450.492526400019
141,-0.15671440256085803,-0.08177607728445783,7506.453586999996
142,-0.14250772211779938,-0.09650830640705263,7564.3897710000165
143,-0.14099461505070646,-0.07303780243246559,7628.1587527999945
144,-0.15268894222822596,-0.08497966751357183,7687.742437800014
145,-0.15264199386251734,-0.07597641706308152,7740.133738000004
146,-0.15428794276841143,-0.07815815433612133,7791.375287200004
147,-0.147941910513538,-0.07557883654086989,7842.4426829
148,-0.14569413290378896,-0.0795616066053589,7893.4158027000085
149,-0.14331752408692178,-0.11845935437570702,7944.957848899998
150,-0.1474052793802099,-0.10509267527649695,7995.929863700003
151,-0.14294623414252666,-0.10727539815484209,8047.737041000015
152,-0.1385976100158184,-0.11495917791084564,8098.965679300018
153,-0.14442613626414158,-0.11693979480224563,8149.985314199992
