epoch,loss_D,loss_G,epoch_time_sec
0,0.18162189583353539,2.3520925088131683,15.521172100212425
1,0.06821800528807526,4.88922933314709,31.486199100036174
2,0.09406628832221031,7.36648839788234,48.11025350005366
3,0.2627189067440068,5.151095343143382,65.11318020010367
4,0.30182797526346244,5.858306068055173,81.81843970017508
5,0.42507978665067797,4.891152247976749,98.11510050017387
6,0.4574612490991329,3.318584273723846,113.88615260017104
7,0.47739923764416514,1.8340163875133433,129.5711428001523
8,0.4980346412100691,2.6736018683048006,144.88350240001455
9,0.5358832281320653,1.8604550075023731,160.2412199000828
10,0.40650689944307855,2.2619077423785594,175.15198810002767
11,0.35166653667358644,2.5441394968235747,189.8675792000722
12,0.4081078993830275,3.340981376424749,204.72595490003005
13,0.32937966201533664,4.530514888560519,221.27970640012063
14,0.4153268558547852,3.287238646568136,238.6966662001796
15,0.4619978353064111,3.3863694982325776,255.85272720013745
16,0.29466552300022003,3.686862670614364,272.0744773000479
17,0.42475976563514545,4.43615980655589,287.72931170021184
18,0.30134680271148684,2.6939907459502526,302.8146319000516
19,0.5201731361607288,2.897609145083326,317.8995394001249
20,0.4957319281202682,2.6285400451497827,332.9820018000901
21,0.45219018345183515,3.0247860249052656,347.8248270000331
22,0.4468740770157347,2.705153238519709,362.1164988002274
23,0.49072097660379205,2.6558630131660625,376.81010800017975
24,0.48545492202677626,2.123235738531072,392.6456782000605
25,0.3354799226243445,2.5461863832270843,408.7830699000042
26,0.2735551897198596,2.7028653510073397,425.2443855002057
27,0.354065003991127,3.1749610596514763,441.31922030006535
28,0.33068342731988176,4.755027794330678,457.5400377002079
29,0.19893952715904153,3.803329541835379,473.04151800018735
30,0.26412988561899103,3.159168160215337,487.8431485001929
31,0.2565816280372599,3.258559917896352,502.40787860006094
32,0.3004417861395694,2.8013356092128348,516.8606933001429
33,0.323596872040566,3.0394652432583746,531.1699521001428
34,0.22390488598574984,3.5328900529983196,546.0318366000429
35,0.22900083280624228,2.676422970852953,560.2911156001501
36,0.3520615487656695,3.7729445142948883,575.1280322000384
37,0.3725697989793534,3.4058409487947503,590.24558290001
38,0.31050732116749946,4.349666976928711,605.3863779001404
39,0.2777775180466632,2.7454590802497054,620.4220135000069
40,0.27565182878616007,2.6402657239995104,635.4670220999978
41,0.31670386309319354,3.093579833050992,650.4867356000468
42,0.2645580981006014,3.4108630535450386,665.2374903000891
43,0.288216267272513,3.702048006463558,679.9623367001768
44,0.3790810312996519,3.959455038638825,694.9223631001078
45,0.3488212613349265,3.5478620407429147,709.5704845001455
46,0.33191920094033506,2.6476309994433787,723.9540122000035
47,0.31559885372506813,2.8679171552049354,738.819877400063
48,0.27157063163975453,2.986612319946289,754.1776487000752
49,0.24954539591327626,3.055641446215041,770.3179653000552
50,0.2935857031890686,3.3075326118063417,786.3840765000787
51,0.3143272075881349,3.625478788132363,801.9835525001399
52,0.29286381209150275,3.7551004328626267,817.9682725002058
53,0.3132617508477353,3.65634562715571,833.2338825000916
54,0.3161915819061563,3.781347865246712,847.2350276000798
55,0.2954276919999021,3.3451915243838695,860.9476936000865
56,0.25283719279030537,4.332468793747273,875.0740525000729
57,0.2732791644461611,4.131037765868166,888.3862803000957
58,0.2816153169312376,3.737228920104656,902.3192817000672
59,0.27459704999593976,4.054929677476275,916.4057827000506
60,0.237367308456847,3.6736567223325687,931.1160239002202
61,0.2555374867738561,3.2741973521861625,946.1360917000566
62,0.24885227949695385,3.4006287848695798,962.1244510000106
63,0.2126230685951862,3.6677156793310286,978.2778449000325
64,0.20165985071278633,3.7503519839428843,994.6007675000001
65,0.2680593726482797,3.6672997383361166,1009.8760958001949
66,0.2180823749684273,4.201999640972057,1024.0029528001323
67,0.2397873215218808,4.572826014173792,1038.0841004000977
68,0.2256025016624877,5.51688939967054,1052.0451393001713
69,0.23201409946096704,4.558287826497504,1065.8048668000847
70,0.2265046478585994,3.8706285354938914,1080.8017966002226
71,0.2391104651258347,3.5565083909542,1095.6332038000692
72,0.24081946110471766,3.3380156141646364,1110.196567100007
73,0.2193870335817337,3.642250392792073,1125.842463400215
74,0.22315456936968134,4.123033657479794,1141.6360095001291
75,0.1999924122970155,3.4542191911250986,1157.5838211001828
76,0.21082616242322516,3.5994263506950217,1173.605506699998
77,0.269231464032163,3.7442059202397124,1189.3340379002038
78,0.2537481115219441,3.6464947954137275,1203.803326500114
79,0.2467532161702501,3.4554052931197146,1218.5537192001939
80,0.22273748815059663,3.3912982473982143,1233.6367265000008
81,0.25982718917917696,3.1004361761377215,1247.9676131000742
82,0.2381147953741094,3.550195739624348,1262.37167410017
83,0.27016388919759304,3.790311407535634,1277.0231271001976
84,0.26868715000913496,3.2751797939868683,1291.5714501000475
85,0.2759121168801125,3.1306184961440717,1307.8636823000852
86,0.29155136708249435,3.184903525291605,1324.1417948000599
87,0.2955518212724239,3.4317659286742517,1340.4767134001013
88,0.2505294586115695,3.5219646606039494,1356.734295600094
89,0.256805634752233,2.920590988118598,1372.6078065000474
90,0.27075834971793156,2.953018304134937,1386.8834345000796
91,0.2674667747096812,2.9230857007046964,1401.666409100173
92,0.2635800413628842,3.093944990888555,1416.538475500187
93,0.2685127853079045,3.125484323501587,1431.6250755002256
94,0.26329887585437045,3.4185521480884957,1446.1657730001025
95,0.27313929149445065,3.273632820616377,1460.1415051000658
96,0.2862199211374242,3.0319549408364805,1474.2653282000683
97,0.2614334165415865,3.0894653563803813,1488.5482126001734
98,0.2616307206610416,3.446292627618668,1503.7392333000898
99,0.27509095897065833,3.2404461972256926,1517.5428774000611
100,0.2903477709344093,3.0462383513754987,1531.6625369000249
101,0.25706321945849886,3.0608018844685656,1544.7552860002033
102,0.23493629687644066,3.133031144040696,1558.4243440001737
103,0.24303984502528575,3.1491738684633943,1571.1150618002284
104,0.24408365735348234,3.2066531688609023,1583.7614772000816
105,0.2587458592146001,3.081155881475895,1596.6650332000572
106,0.24733211626397802,3.1583662246135957,1608.9960462001618
107,0.26863587283073587,3.105616199209335,1621.1423442000523
108,0.2747898097367997,3.135289137414161,1633.3221173000056
109,0.2611636494702481,2.9799398655587055,1645.7309450001922
110,0.27245127958186127,2.956738328933716,1658.0115851000883
111,0.26496101370517244,3.066355765119512,1671.4059952001553
112,0.28677173256874083,2.8434998735468437,1685.1252367000561
113,0.27014254921294273,2.80538318715197,1698.6420267000794
114,0.28368737374214414,2.930085663592562,1712.7103899000213
115,0.27394978651340973,2.9658503928083055,1726.6286574001424
116,0.2780029223320332,2.9250118884634464,1740.0011531000491
117,0.2738418944338535,2.8861839253851707,1752.8594864001498
118,0.27593067453262654,2.8838994543603125,1765.4849812001921
119,0.2803681249314166,2.901048278808594,1860.6691870000213
120,0.28962941429716477,2.99247851067401,1869.833015800221
121,0.27770307628398244,2.8979001562646096,1878.1045137001202
122,0.29485871677703046,2.6688533864122754,1885.8283600001596
123,0.2786211817188466,2.725064460267412,1893.7595525002107
124,0.2902445427914883,2.755845308303833,1902.091926000081
125,0.27485734091160147,2.904197739032989,1916.5255004002247
126,0.2884349375329119,2.8976407954033383,1930.8393404001836
127,0.30131177306175233,2.8181551415869532,1938.3179348001722
128,0.31390450634854905,2.714298690633571,1945.82465710002
129,0.304551223300873,2.6082886604552575,1957.170509000076
130,0.3121966674606851,2.542671101651293,1972.3057871002238
131,0.30950179442446285,2.5483979255595104,1994.6311723000836
132,0.31674200562720606,2.4768959136719397,2043.2876426000148
133,0.3254650963747755,2.4131773066013418,2072.551831400022
134,0.31538725907498216,2.5730274591040105,2114.9374678002205
135,0.3146916203042294,2.7117163627705674,2140.7088427001145
136,0.30263590463932527,2.845426363640643,2156.953489500098
137,0.31224977158485573,2.7381309509277343,2173.263108200161
138,0.324835378629096,2.727455597735466,2188.9715681001544
139,0.3156259908321056,2.494121149245729,2205.002869900083
140,0.31239251494407655,2.51381909492168,2234.9550401000306
141,0.33640603524573304,2.5467281498807544,2277.2441476001404
142,0.31879935594315223,2.4647909636193135,2301.174023400061
143,0.33931675134821143,2.432720618045076,2355.2704102999996
144,0.31972012570563785,2.5010174431699386,2409.007097200025
145,0.33184320647665794,2.4686002858141634,2470.054278300144
146,0.32824286380980877,2.4831232705014816,2495.8773064000998
147,0.326727372978596,2.536835237766834,2532.4708643001504
148,0.3326299078286962,2.544453209004504,2587.979680400109
149,0.3263971878493086,2.539842646172706,2635.233709100168
150,0.3237209521709605,2.3955407512948867,2672.1300678001717
151,0.32465695459791954,2.4714449669452425,2691.282482500188
152,0.3259889368047105,2.536812455603417,2708.081061600009
153,0.3300919609501007,2.47255131386696,2726.058046300197
154,0.3387293423109866,2.5230430816082245,2743.3884874000214
155,0.3315673150914781,2.438418441630424,2762.2662878001574
156,0.3362670689187151,2.466548934388668,2779.756481200224
157,0.336042978788944,2.552952293132214,2795.7934195999987
158,0.34220842820532776,2.3815978679251164,2811.6751468
159,0.34096902025506853,2.389317033138681,2828.293764800066
160,0.3505182551576736,2.3801717920506253,2849.0111058000475
161,0.347819248158881,2.350833817745777,2866.7080407000612
162,0.3571117227381848,2.316657194685429,2883.5021628001705
163,0.34932924864139964,2.3540024336348186,2901.870365700219
164,0.35474932910280027,2.3612431891421055,2920.9405604000203
165,0.3501351141549171,2.3228696270191924,2939.274665700039
166,0.3482200933263657,2.3003909734969445,2957.6930585000664
167,0.35257715253119776,2.284153947931655,2975.8052384001203
168,0.34664202624178947,2.265242988505262,2994.0606082000304
169,0.3650863689945099,2.2972308442947713,3011.59767440008
170,0.36700432376658665,2.401677548124435,3029.2588665001094
171,0.3500355910747609,2.4157759646151926,3047.6914686001837
172,0.3663450639932714,2.3031793056650365,3066.1435332000256
173,0.36174644523478566,2.1982946558201566,3084.5697883001994
174,0.386346598128055,2.2353539948767804,3102.6384496001992
175,0.35079864663012483,2.310224164800441,3122.0402845002245
176,0.3630052417516708,2.217638009152514,3139.0959140001796
177,0.3786654464741971,2.2229273212716936,3157.311551900115
178,0.36756951720156567,2.248799832323764,3175.4055220000446
179,0.3723771905645411,2.1208476188335013,3195.427970800083
180,0.3875972222774587,2.038932934213192,3214.9511828999966
181,0.3838138888490961,2.172275155655881,3233.0850549000315
182,0.37805612347227463,2.165887884383506,3252.558949700091
