epoch,loss_C,loss_G,epoch_time_min
0,-0.925727818555377,-2.928383591411477,0.4104195083336284
1,-0.572944535296014,-2.7295922091666687,0.7650094149983488
2,-0.5199033824940945,-2.676091757670362,1.0804616500002642
3,-0.8004250920326151,-0.4265786696265035,1.3652329833324377
4,-0.5039911008134801,-0.5323929444510251,1.6946670099976473
5,-0.473201495789467,-0.0835535422026952,2.023110401665326
6,-0.4565093476721581,-0.0626996578064132,2.331423928332515
7,-0.4379124367744365,-0.2499601989707097,2.627763003332075
8,-0.4010659663981579,-0.2093436782902225,2.9466125449980605
9,-0.3880971682832596,-0.2378351057423873,3.2827589849980243
10,-0.3985590874895136,-0.2254863940100086,3.6907101866672747
11,-0.3884624037590433,-0.1783744619584622,4.010281079999792
12,-0.366345260853463,-0.1559089928607832,4.300477106667434
13,-0.3363533385129685,-0.0967556834686547,4.616433668334503
14,-0.3157715366495416,-0.1183548044770004,4.960611003334634
15,-0.300240268897503,-0.3657259568611675,5.306962193331371
16,-0.2747254643161246,-0.2705004897404541,5.668125678331125
17,-0.2796005374700465,0.1382781664127523,6.025865271668105
18,-0.3070844582420714,0.2989485304763025,6.375800453332098
19,-0.2775677401081045,-0.1682088452470587,6.739330200001132
20,-0.2645611073362066,0.0987652547657489,7.07247472666592
21,-0.2595834528638961,-0.2084499753516246,7.386548106667275
22,-0.2781563100662637,-0.2487693523492743,7.730851359999119
23,-0.2753006153030598,-0.2327946233107371,8.080022288331142
24,-0.2634298355275012,-0.1664518528072995,8.443250248332818
25,-0.2625815052428144,-0.1126652889667039,8.80057590166495
26,-0.2523971469858859,-0.119482128748155,9.160687381665532
27,-0.2581692022338827,-0.0779370414707413,9.476471224997658
28,-0.246216214134338,-0.13176872391115,9.79336894666776
29,-0.2419429960783491,-0.1411586003596002,10.087135965000682
30,-0.2338909603687043,0.0147480459745101,10.385702748332793
31,-0.2246664492817635,0.4216544038913351,10.718192355001035
32,-0.2341597230890963,0.2695060177290059,11.043422651667303
33,-0.225367739986866,-0.1784627674984686,11.393009204999544
34,-0.215375436328827,-0.1552159929885826,11.72414200999774
35,-0.2160205336580885,-0.0605124261111338,12.075780898332596
36,-0.2139467265377653,-0.1074828512986448,12.410838618331278
37,-0.2082262375760585,-0.0855481281638779,12.771881703333928
38,-0.2122350455027945,0.2481616176625198,13.11245148833453
39,-0.2230424910783767,-0.1412428332284648,13.458816583334313
40,-0.2622756274456673,0.0723486083985722,13.784365048333227
41,-0.2659716710923834,0.0461914693797997,14.141012243332806
42,-0.2428085888953919,-0.0078234835096852,14.495777543331496
43,-0.242200361540977,-0.0470420427006134,14.861159441666677
44,-0.2285078934849576,-0.0487429338923477,15.193440421666793
45,-0.2378216199798787,-0.0366691149374906,15.554412411665544
46,-0.231685322053889,-0.0125228305872371,15.953107838332652
47,-0.2299242982268333,-0.0282279624316365,16.32807921166532
48,-0.2151173026384191,-0.0578951993516269,16.73447802000058
49,-0.2115464600476812,-0.0963573204264282,17.526731986665013
50,-0.2078401460672946,-0.0676966915303405,18.526232531666754
51,-0.2085352704055766,-0.0209784639206655,19.49494231666516
52,-0.2145644544921023,0.0038322002894463,20.409205756666292
53,-0.2333262146216757,0.0300706380116257,21.32565804666762
54,-0.2154974753488885,0.0062005619865227,22.221958668332082
55,-0.2158113369409074,0.0153945255306291,23.12790252166645
56,-0.2007335922439047,-0.1079343840197481,24.08243196666784
57,-0.1910346623304042,-0.1948941185198565,25.091891399999927
58,-0.1851155514539556,-0.1769465108917273,25.987618423334787
59,-0.1802241239522365,-0.2128921401330289,26.896012281665268
60,-0.1893925848920294,0.3269780279474055,27.762591903334638
61,-0.2148134890642572,0.3086514564587714,28.155442421666034
62,-0.2210964327353112,0.0829291327638512,28.573667205000916
63,-0.1957749201959752,0.0493476882259896,28.977926783333533
64,-0.1902482951701955,0.0204341227030183,29.595490044999558
65,-0.1902202703914743,0.029588493489799,30.021131788333882
66,-0.1851735306420224,-0.0066893174635008,30.44640401666595
67,-0.177806735140212,-0.0185859627912732,30.80488325333378
68,-0.1809531291558387,-0.0748513722296883,31.16977175999976
69,-0.1832958488958947,-0.0839927474155705,31.52832291166608
70,-0.1851644212641614,-0.0805111829250892,32.1494647116672
71,-0.1977952226425739,-0.0075121058329464,32.541452083333084
72,-0.1992971278568531,-0.0121780204923546,32.87985642666463
73,-0.1843117912589235,-0.0210810833328225,33.239904743332104
74,-0.1923063114095241,0.0091634327307977,33.58409712999904
75,-0.1893975224583707,0.0201724075206971,34.020658751666396
76,-0.1839429443947812,0.0168137026727794,34.428713538334705
77,-0.1896362485720756,0.0433640336043181,34.73699058166628
78,-0.1778960167981208,0.0177188473486123,35.116750568333856
79,-0.1775140620546138,0.0076356974891089,35.45866132999848
80,-0.1782887451762848,0.0120534404914112,35.84072815166631
81,-0.1738094876231031,-0.012589599194124,36.221745174999036
82,-0.1668247452314863,-0.0492943543722813,36.59672774000015
83,-0.163850137591362,-0.0520353890271817,36.96089046166744
84,-0.1675515315253684,-0.0094029002010505,37.3848851183313
85,-0.1792311495764458,0.0264451604425669,37.791483838332354
86,-0.169776014032516,0.0360214115070932,38.137356014999874
87,-0.1705276003226321,0.0245915831413437,38.55676110166436
88,-0.1690073267449724,0.0218784126314394,38.87317244666629
89,-0.1713043822696868,0.0081014577125971,39.20380264833414
90,-0.171683017421276,0.0379562609739839,39.53682821999925
91,-0.165809077404915,0.0708074709816657,39.864409206667915
92,-0.1613085747938206,0.0012530424889731,40.16547921666643
93,-0.168855664495458,0.0140305268132385,40.47878282666594
94,-0.1612315295921995,0.0010271272002818,40.76958509166725
95,-0.1527183275400324,-0.0106981916838583,41.12106713999916
96,-0.1561402500563479,-0.0050541152751588,41.464473390001025
97,-0.1595483334203984,0.0046771068324116,41.856705164998615
98,-0.1609810849136494,0.015853389420923,42.4183974200006
99,-0.1510039776310007,-0.0218869897546841,42.89628682999949
100,-0.1581154694963008,-0.0012233733868305,43.33599702833453
101,-0.1574477306198566,0.0042398474857884,43.922568124998364
102,-0.1590980240258764,0.0164479481442732,44.30885094166733
103,-0.1513624315185749,-0.0116288630182835,44.78942297833273
104,-0.1485892258299158,-0.0238960126984587,45.20780313666522
105,-0.1444475330951366,-0.0088306588814296,45.53672549333423
106,-0.1460525817883775,-0.0402648089552654,45.92393277333273
107,-0.1484015469284768,-0.0042889447996709,46.40719184333382
108,-0.1493050391306268,-0.009239876605174,46.777266324998344
109,-0.1547982933166179,0.0228512565268481,47.18978353166798
110,-0.1499850035823406,0.014292681360855,47.587962433331015
111,-0.1460626070930602,-0.0104071686440642,47.948183058334195
112,-0.1524772194757106,-0.0006231694947928,48.344359348334066
113,-0.144302167264705,-0.0104553529472546,48.72480592333401
114,-0.1400790797903182,-0.0013367464731229,49.076389684997665
115,-0.1378533837008983,0.0127799317171361,49.43194543666517
116,-0.1461282061642788,-0.0005055269493939,49.93216468999938
117,-0.145844350606203,-0.0144202557179403,51.4665446533317
118,-0.1438950738944905,-0.0091887452986408,52.97363190833324
119,-0.1366536066728703,0.0003914450770838,54.409741168333376
120,-0.1339036550166759,0.2364597546531165,55.45084970000122
121,-0.1304559336063709,0.30927789423694,56.34769908833162
122,-0.1287306814181043,0.1437197132006366,56.993180360000885
123,-0.1388073785634751,-0.0789729612760562,57.35750672333331
124,-0.1365973349771601,-0.1266216525689084,57.67419078499855
125,-0.1325631467459049,-0.0927388313057971,58.032874449998296
