epoch,loss_D,loss_G,epoch_time_min
0,0.1816218958335353,2.3520925088131683,0.25868620167020706
1,0.0682180052880752,4.88922933314709,0.5247699850006028
2,0.0940662883222103,7.36648839788234,0.8018375583342277
3,0.2627189067440068,5.151095343143382,1.0852196700017278
4,0.3018279752634624,5.858306068055173,1.3636406616695846
5,0.4250797866506779,4.891152247976749,1.635251675002898
6,0.4574612490991329,3.318584273723846,1.898102543336184
7,0.4773992376441651,1.8340163875133435,2.159519046669205
8,0.4980346412100691,2.6736018683048006,2.4147250400002425
9,0.5358832281320653,1.8604550075023727,2.6706869983347135
10,0.4065068994430785,2.2619077423785594,2.919199801667128
11,0.3516665366735864,2.5441394968235747,3.164459653334537
12,0.4081078993830275,3.340981376424749,3.412099248333834
13,0.3293796620153366,4.530514888560519,3.6879951066686774
14,0.4153268558547852,3.287238646568136,3.9782777700029937
15,0.4619978353064111,3.3863694982325776,4.26421212000229
16,0.29466552300022,3.686862670614364,4.534574621667464
17,0.4247597656351454,4.43615980655589,4.795488528336864
18,0.3013468027114868,2.693990745950253,5.0469105316675265
19,0.5201731361607288,2.897609145083326,5.298325656668749
20,0.4957319281202682,2.6285400451497827,5.549700030001501
21,0.4521901834518351,3.0247860249052656,5.797080450000552
22,0.4468740770157347,2.705153238519709,6.03527498000379
23,0.490720976603792,2.6558630131660625,6.280168466669663
24,0.4854549220267762,2.123235738531072,6.544094636667675
25,0.3354799226243445,2.5461863832270843,6.81305116500007
26,0.2735551897198596,2.70286535100734,7.087406425003428
27,0.354065003991127,3.1749610596514763,7.355320338334423
28,0.3306834273198817,4.755027794330678,7.625667295003465
29,0.1989395271590415,3.803329541835379,7.884025300003122
30,0.264129885618991,3.159168160215337,8.130719141669882
31,0.2565816280372599,3.258559917896352,8.37346464333435
32,0.3004417861395694,2.8013356092128348,8.614344888335715
33,0.323596872040566,3.039465243258374,8.852832535002381
34,0.2239048859857498,3.53289005299832,9.100530610000714
35,0.2290008328062422,2.676422970852953,9.3381852600025
36,0.3520615487656695,3.772944514294888,9.585467203333973
37,0.3725697989793534,3.4058409487947503,9.837426381666834
38,0.3105073211674994,4.349666976928711,10.08977296500234
39,0.2777775180466632,2.7454590802497054,10.34036689166678
40,0.27565182878616,2.6402657239995104,10.591117034999964
41,0.3167038630931935,3.093579833050992,10.841445593334113
42,0.2645580981006014,3.4108630535450386,11.087291505001485
43,0.288216267272513,3.702048006463558,11.332705611669613
44,0.3790810312996519,3.959455038638825,11.582039385001796
45,0.3488212613349265,3.5478620407429147,11.826174741669092
46,0.331919200940335,2.6476309994433787,12.065900203333392
47,0.3155988537250681,2.8679171552049354,12.313664623334382
48,0.2715706316397545,2.986612319946289,12.569627478334587
49,0.2495453959132762,3.055641446215041,12.838632755000921
50,0.2935857031890686,3.3075326118063417,13.10640127500131
51,0.3143272075881349,3.625478788132363,13.366392541668999
52,0.2928638120915027,3.7551004328626263,13.632804541670096
53,0.3132617508477353,3.65634562715571,13.887231375001527
54,0.3161915819061563,3.781347865246712,14.120583793334664
55,0.2954276919999021,3.345191524383869,14.349128226668109
56,0.2528371927903053,4.332468793747273,14.584567541667882
57,0.2732791644461611,4.131037765868166,14.806438005001594
58,0.2816153169312376,3.737228920104656,15.03865469500112
59,0.2745970499959397,4.054929677476275,15.27342971166751
60,0.237367308456847,3.6736567223325687,15.518600398337004
61,0.2555374867738561,3.2741973521861625,15.76893486166761
62,0.2488522794969538,3.40062878486958,16.035407516666844
63,0.2126230685951862,3.6677156793310286,16.304630748333874
64,0.2016598507127863,3.750351983942884,16.576679458333334
65,0.2680593726482797,3.667299738336117,16.83126826333658
66,0.2180823749684273,4.201999640972057,17.066715880002207
67,0.2397873215218808,4.572826014173792,17.30140167333496
68,0.2256025016624877,5.51688939967054,17.534085655002855
69,0.232014099460967,4.558287826497504,17.76341444666808
70,0.2265046478585994,3.8706285354938914,18.013363276670376
71,0.2391104651258347,3.5565083909542,18.26055339666782
72,0.2408194611047176,3.3380156141646364,18.503276118333453
73,0.2193870335817337,3.642250392792073,18.764041056670248
74,0.2231545693696813,4.123033657479794,19.02726682500215
75,0.1999924122970155,3.4542191911250986,19.293063685003048
76,0.2108261624232251,3.5994263506950217,19.560091778333298
77,0.269231464032163,3.744205920239712,19.8222339650034
78,0.2537481115219441,3.646494795413728,20.0633887750019
79,0.2467532161702501,3.4554052931197146,20.309228653336568
80,0.2227374881505966,3.3912982473982143,20.56061210833335
81,0.2598271891791769,3.100436176137721,20.79946021833457
82,0.2381147953741094,3.550195739624348,21.039527901669498
83,0.270163889197593,3.790311407535634,21.283718785003295
84,0.2686871500091349,3.2751797939868683,21.526190835000794
85,0.2759121168801125,3.130618496144072,21.797728038334753
86,0.2915513670824943,3.184903525291605,22.069029913334337
87,0.2955518212724239,3.431765928674252,22.341278556668353
88,0.2505294586115695,3.5219646606039494,22.612238260001565
89,0.256805634752233,2.920590988118598,22.87679677500079
90,0.2707583497179315,2.953018304134937,23.11472390833466
91,0.2674667747096812,2.9230857007046964,23.361106818336218
92,0.2635800413628842,3.093944990888555,23.60897459166978
93,0.2685127853079045,3.125484323501587,23.860417925003762
94,0.2632988758543704,3.418552148088496,24.102762883335043
95,0.2731392914944506,3.273632820616377,24.335691751667763
96,0.2862199211374242,3.0319549408364805,24.571088803334472
97,0.2614334165415865,3.0894653563803813,24.80913687666956
98,0.2616307206610416,3.446292627618668,25.0623205550015
99,0.2750909589706583,3.2404461972256926,25.292381290001018
100,0.2903477709344093,3.0462383513754987,25.527708948333746
101,0.2570632194584988,3.0608018844685656,25.74592143333672
102,0.2349362968764406,3.133031144040696,25.97373906666956
103,0.2430398450252857,3.1491738684633943,26.18525103000381
104,0.2440836573534823,3.2066531688609023,26.39602462000136
105,0.2587458592146001,3.081155881475895,26.611083886667622
106,0.247332116263978,3.158366224613596,26.816600770002697
107,0.2686358728307358,3.105616199209335,27.019039070000872
108,0.2747898097367997,3.135289137414161,27.222035288333426
109,0.2611636494702481,2.979939865558705,27.428849083336537
110,0.2724512795818612,2.956738328933716,27.633526418334807
111,0.2649610137051724,3.066355765119512,27.856766586669256
112,0.2867717325687408,2.843499873546844,28.085420611667598
113,0.2701425492129427,2.80538318715197,28.310700445001324
114,0.2836873737421441,2.930085663592562,28.545173165000353
115,0.2739497865134097,2.965850392808305,28.777144290002372
116,0.2780029223320332,2.9250118884634464,29.000019218334153
117,0.2738418944338535,2.8861839253851707,29.21432477333583
118,0.2759306745326265,2.8838994543603125,29.424749686669866
119,0.2803681249314166,2.901048278808594,31.011153116667018
120,0.2896294142971647,2.99247851067401,31.16388359667035
121,0.2777030762839824,2.8979001562646096,31.301741895002
122,0.2948587167770304,2.6688533864122754,31.430472666669335
123,0.2786211817188466,2.725064460267412,31.562659208336846
124,0.2902445427914883,2.755845308303833,31.70153210000135
125,0.2748573409116014,2.904197739032989,31.942091673337078
126,0.2884349375329119,2.8976407954033383,32.1806556733364
127,0.3013117730617523,2.818155141586953,32.3052989133362
128,0.313904506348549,2.714298690633571,32.430410951667
129,0.304551223300873,2.608288660455257,32.6195084833346
130,0.3121966674606851,2.542671101651293,32.871763118337064
131,0.3095017944244628,2.5483979255595104,33.24385287166807
132,0.316742005627206,2.47689591367194,34.05479404333358
133,0.3254650963747755,2.4131773066013418,34.542530523333696
134,0.3153872590749821,2.5730274591040105,35.24895779667034
135,0.3146916203042294,2.7117163627705674,35.67848071166858
136,0.3026359046393252,2.845426363640643,35.94922482500163
137,0.3122497715848557,2.7381309509277343,36.22105180333601
138,0.324835378629096,2.727455597735466,36.48285946833591
139,0.3156259908321056,2.494121149245729,36.750047831668056
140,0.3123925149440765,2.51381909492168,37.24925066833384
141,0.336406035245733,2.5467281498807544,37.954069126669005
142,0.3187993559431522,2.464790963619313,38.35290039000101
143,0.3393167513482114,2.432720618045076,39.254506838333334
144,0.3197201257056378,2.5010174431699386,40.15011828666708
145,0.3318432064766579,2.468600285814164,41.1675713050024
146,0.3282428638098087,2.4831232705014816,41.59795510666834
147,0.326727372978596,2.536835237766834,42.20784773833584
148,0.3326299078286962,2.544453209004504,43.13299467333515
149,0.3263971878493086,2.539842646172706,43.92056181833614
150,0.3237209521709605,2.3955407512948867,44.53550113000287
151,0.3246569545979195,2.4714449669452425,44.8547080416698
152,0.3259889368047105,2.536812455603417,45.13468436000015
153,0.3300919609501007,2.47255131386696,45.43430077166995
154,0.3387293423109866,2.5230430816082245,45.72314145666702
155,0.3315673150914781,2.438418441630424,46.03777146333595
156,0.3362670689187151,2.466548934388668,46.329274686670395
157,0.336042978788944,2.552952293132214,46.596556993333316
158,0.3422084282053277,2.3815978679251164,46.86125244666667
159,0.3409690202550685,2.389317033138681,47.138229413334436
160,0.3505182551576736,2.3801717920506253,47.48351843000079
161,0.347819248158881,2.350833817745777,47.77846734500101
162,0.3571117227381848,2.316657194685429,48.058369380002844
163,0.3493292486413996,2.354002433634818,48.36450609500365
164,0.3547493291028002,2.361243189142105,48.68234267333367
165,0.3501351141549171,2.3228696270191924,48.98791109500065
166,0.3482200933263657,2.3003909734969445,49.29488430833444
167,0.3525771525311977,2.284153947931655,49.59675397333534
168,0.3466420262417894,2.265242988505262,49.901010136667175
169,0.3650863689945099,2.2972308442947718,50.19329457333467
170,0.3670043237665866,2.401677548124435,50.48764777500182
171,0.3500355910747609,2.4157759646151926,50.79485781000307
172,0.3663450639932714,2.3031793056650365,51.102392220000425
173,0.3617464452347856,2.1982946558201566,51.40949647166999
174,0.386346598128055,2.2353539948767804,51.71064082666999
175,0.3507986466301248,2.310224164800441,52.03400474167041
176,0.3630052417516708,2.217638009152514,52.318265233336334
177,0.3786654464741971,2.2229273212716936,52.62185919833525
178,0.3675695172015656,2.248799832323764,52.92342536666741
179,0.3723771905645411,2.1208476188335013,53.25713284666805
180,0.3875972222774587,2.038932934213192,53.58251971499995
181,0.3838138888490961,2.172275155655881,53.884750915000524
182,0.3780561234722746,2.165887884383506,54.20931582833485
183,0.3934360330409192,2.048489793310774,54.50281109500211
184,0.3849216774423071,2.084507845817728,54.817255225001524
185,0.3896157566537248,2.082025882031055,55.12579892333597
186,0.3969527372654448,2.0346065790095227,55.442044105000484
187,0.3961489669820096,2.0707344039957576,55.75941738666733
188,0.3955570081447033,2.0467074891354176,56.09517342333371
189,0.3919150225659634,2.1727852811204627,56.39711464500287
190,0.3924197820272851,2.184556179350995,56.697965266668085
191,0.3996881835004117,2.01182016616172,56.991948446670236
192,0.3964477393221348,2.04785983207378,57.2620669400009
193,0.4050657780880624,2.0033323597400745,57.5424140433354
194,0.3857654688206124,2.0038997878419598,57.825871921668295
195,0.4022818351045568,2.010593767876321,58.114283490002464
196,0.4091416101506416,1.986269791075524,58.410254533336655
197,0.4002342869626715,2.108996033668518,58.682101826668564
198,0.4220791962552578,2.004490084851042,58.955651500002325
199,0.4049675563548474,2.001203610034699,59.22958373666818
200,0.4156634283826706,1.980742237922993,59.53210737666814
201,0.4049888257016527,1.9980679192441573,59.83145193833625
202,0.4155866420015375,1.9528696582672445,60.104047615003466
203,0.4189299126888843,1.891483485445063,60.39114048166667
204,0.4070825628777768,1.9323312901436012,60.700334513334866
205,0.4188731554974901,1.8597583080859892,60.99846110500319
206,0.4190826488302109,1.8448451006666144,61.31000210833348
207,0.4176041764147738,1.9259119723705536,61.62691748666888
208,0.4171640339049887,1.966359632573229,61.94439757666939
209,0.4181806039302907,1.928744139569871,62.249351146669746
210,0.4229753026302825,1.900418722883184,62.549119721667374
211,0.4287150148381578,1.8841292817541893,62.853205806668846
212,0.4286755850974549,1.8527711279848789,63.14841260500252
213,0.420022720605769,1.842231991443228,63.49940382333395
214,0.4222347368585302,1.8749125211796864,63.801308746666955
215,0.4237735906814007,1.9274294959737897,64.11467569500286
216,0.4180092199051634,1.969260318228539,64.41988829333567
217,0.4240255331739466,1.920287676567727,64.75677667666848
218,0.4191580488326701,1.8807636676950656,65.06305202333412
219,0.4350373094386243,1.822170947460418,65.34560841833397
220,0.4256567512420898,1.7921301187352932,65.67141398333479
221,0.4285280124938234,1.86698777016173,66.00394226333592
222,0.4304067266748306,1.933900974151936,66.31613658500137
223,0.4342094356709338,1.8463967855940475,66.61748433833709
224,0.4262025282738056,1.822070597587748,66.9187442166692
225,0.4286662686378398,1.844077325881796,67.22354811000017
226,0.4337341119634344,1.7786622904716654,67.54852325000101
227,0.4238819748797315,1.8198451869031216,67.86354269000003
228,0.4330644806648822,1.8507574786531165,68.18634776333347
229,0.4457191495185202,1.805171871692576,68.51918860333583
230,0.4287302297480563,1.7852542882270002,68.86824452833584
231,0.4366133017742887,1.7856160955226168,69.20744242833462
232,0.4388109465862842,1.8530138873039408,69.53739388833444
233,0.4454572609130372,1.7662734249804883,69.85789029000249
234,0.4325275887834265,1.8179236706267008,70.18918297500349
235,0.4403827388235863,1.7607844509976975,70.54925771500372
236,0.4388470949010646,1.8257007700331669,70.86441695333536
237,0.4440906435885328,1.8068801118972453,71.19172025333391
238,0.4343847027484406,1.7877779661340916,71.50398809500038
239,0.4402638477213839,1.799468204822946,71.82708294833623
240,0.4575182733383584,1.7240212120908371,72.12980700833334
241,0.4490019926365385,1.6712122597592942,72.4305466366699
242,0.4431945193321147,1.6788609342372165,72.74943610000192
243,0.4445027526388777,1.6996113325687163,73.11960738500348
244,0.435057431839882,1.741392345124103,73.84569820500134
245,0.4405746079505758,1.865912173656707,74.72265589833647
246,0.4344628864146293,1.896383483866428,75.6391255216673
247,0.4485322770920205,1.745414875923319,76.45834622833645
248,0.436174197780325,1.6789682839779143,77.06408562666815
249,0.4436146599181155,1.7443437621948568,77.983818026667
250,0.4474993141407662,1.83393489655028,78.62351991833421
251,0.4429796904959577,1.7298412987526426,78.9286647016687
252,0.447958910972514,1.7574159464937575,79.2107364833355
253,0.4424140974562219,1.7972906528635229,79.50483800166985
254,0.442060733602402,1.740080989168045,79.77219774000113
255,0.4444998791877259,1.7564844101033312,80.05743270500098
256,0.4489042181917961,1.7709207174625805,80.32663594666714
257,0.451223679552687,1.7332725332138386,80.60608628500098
258,0.4461564854104468,1.720229109804681,80.87658103333476
259,0.4525231134384236,1.765511685736636,81.14214930000017
260,0.4594459009931442,1.7423035565842973,81.44447158000354
261,0.4418140033458141,1.7464097200556004,81.71914868500316
262,0.4483094682084753,1.7485765868044914,81.97836241667004
263,0.4680781067685878,1.6984356662060351,82.2386910850027
264,0.4536380783040473,1.6487639001075258,82.50933628333344
265,0.4536219411707939,1.6728046057072092,82.78832124666854
266,0.4473187728131071,1.7452749820465738,83.0557461583366
267,0.4686968594155413,1.7072703427456797,83.3284042316683
268,0.4502983272075653,1.7300148816818888,83.59619952166688
269,0.4553812158868668,1.7006471638983869,83.90696100833593
270,0.4538675414754989,1.6064895188554804,84.20985496333645
271,0.4543151502913617,1.5837997806833146,84.50301546500219
272,0.4648581972781648,1.660057489922706,84.80207574166901
273,0.459995202181187,1.7018108804175194,85.06960968333685
274,0.4582618742547136,1.651677300067658,85.34012120833698
275,0.4608794046209213,1.771042323112488,85.6192389783333
276,0.4528363953245447,1.808380251742424,85.8933833833357
277,0.4725499367460291,1.6896017297785333,86.16872524500359
278,0.4530703982140155,1.6586670758876394,86.44155839333544
279,0.4622848345878276,1.654503359693162,86.71421205666847
280,0.4695733778020169,1.600593739367546,86.99411091000074
281,0.4625064385698196,1.6405871639860437,87.27514642333456
282,0.4561794002005394,1.6487516859744458,87.54675121500235
283,0.461160490107029,1.6744409637248263,87.8172296583342
284,0.4646149699992322,1.684625611913965,88.0897205116693
285,0.4564977170305049,1.6209605399598466,88.36172127667038
286,0.4678953809941069,1.6266402909096251,88.63745616666662
287,0.4720050942390523,1.743730207199746,88.91324782000156
288,0.4613633031540728,1.8546717638665056,89.20998645166789
289,0.4601791540358929,1.7396379810698488,89.51168310333354
290,0.4757253759718955,1.6821723811169889,89.81360612000184
291,0.4617078183813298,1.5948586524801052,90.11114392333353
292,0.4620342172206716,1.5879661986168394,90.39676035333348
293,0.455610623765499,1.5874917370207766,90.69379406167039
294,0.4643101907790975,1.5893384416052636,90.98689272500341
295,0.4531506495272859,1.6402201688036009,91.2756074083348
296,0.4660050201923289,1.6632543563842774,91.57336227000148
297,0.4636223680161415,1.689283935567166,91.85791455000096
298,0.4657466241653929,1.7345771069222309,92.1361117283348
299,0.452204950439169,1.7318923179139485,92.41914000666777
